Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
seg1[6]_reg_p_D_OAI2BB1X0P5H7L_Y,1.2,5.476e-06,0.000e+00,1.112e-09,5.477e-06
seg1[7]_reg_p_D_OAI21X0P5H7L_Y,1.2,5.468e-06,0.000e+00,7.078e-10,5.469e-06
gpr[1]_1__XOR2X0P5H7L_B,1.2,5.457e-06,0.000e+00,3.089e-09,5.460e-06
gpr[1]_2__XOR2X0P5H7L_B,1.2,5.456e-06,0.000e+00,3.089e-09,5.459e-06
gpr[1]_7__XOR2X0P5H7L_B,1.2,5.321e-06,0.000e+00,3.131e-09,5.324e-06
gpr[2]_7__MUX2X0P5H7L_A_Y_XOR2X0P5H7L_B_Y_NOR4X0P5H7L_B,1.2,5.283e-06,0.000e+00,2.667e-10,5.284e-06
seg0[6]_reg_p_D_AOAI211X0P5H7L_Y_B0_AOI21X3H7L_A0_A1_OAOI211X0P5H7L_B0,1.2,5.261e-06,0.000e+00,7.267e-10,5.261e-06
seg1[5]_reg_p_D_OAI21X0P5H7L_Y_B0_OAI211X1P4H7L_Y,1.2,5.118e-06,0.000e+00,6.371e-10,5.119e-06
gpr[1]_3__MUX4X1P4H7L_B_Y_AOI31X0P5H7L_B0,1.2,4.977e-06,0.000e+00,8.038e-10,4.978e-06
gpr[1]_7__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_B_Y_AOA211X2H7L_C0_Y_NOR3X1P4H7L_B,1.2,4.907e-06,0.000e+00,8.825e-10,4.908e-06
gpr[1]_5__MUX4X1P4H7L_B_Y_AOI31X0P5H7L_B0,1.2,4.898e-06,0.000e+00,8.038e-10,4.899e-06
seg1[1]_reg_p_D_OAI31X0P5H7L_Y,1.2,4.787e-06,0.000e+00,7.650e-10,4.787e-06
gpr[1]_3__MUX4X1P4H7L_B_Y_XNOR2X0P7H7L_B_Y_XOR2X0P5H7L_A_Y_OAI21X0P5H7L_A1,1.2,4.626e-06,0.000e+00,7.130e-10,4.627e-06
seg0[4]_reg_p_D_OAOI211X0P5H7L_Y_C0_OA211X1H7L_Y,1.2,4.222e-06,0.000e+00,1.015e-09,4.223e-06
seg1[5]_reg_p_D_OAI21X0P5H7L_Y,1.2,4.168e-06,0.000e+00,7.160e-10,4.169e-06
gpr[1]_1__MUX4X1P4H7L_B_Y_AOI31X2H7L_B0_Y_NOR2X0P5H7L_A_Y_XOR2X0P5H7L_B_Y_OAI21X0P5H7L_A1,1.2,4.150e-06,0.000e+00,7.130e-10,4.151e-06
seg0[4]_reg_p_D_OAOI211X0P5H7L_Y,1.2,4.007e-06,0.000e+00,7.879e-10,4.007e-06
gpr[0]_0__reg_p,1.2,3.969e-06,0.000e+00,6.757e-09,3.976e-06
gpr[0]_3__reg_p,1.2,3.969e-06,0.000e+00,6.757e-09,3.976e-06
gpr[0]_1__reg_p,1.2,3.969e-06,0.000e+00,6.757e-09,3.976e-06
gpr[0]_2__reg_p,1.2,3.969e-06,0.000e+00,6.757e-09,3.976e-06
gpr[0]_5__reg_p,1.2,3.969e-06,0.000e+00,6.719e-09,3.976e-06
gpr[0]_4__reg_p,1.2,3.969e-06,0.000e+00,6.726e-09,3.975e-06
gpr[0]_6__reg_p,1.2,3.969e-06,0.000e+00,6.721e-09,3.975e-06
gpr[0]_7__reg_p,1.2,3.969e-06,0.000e+00,6.642e-09,3.975e-06
seg1[1]_reg_p,1.2,3.968e-06,0.000e+00,6.789e-09,3.975e-06
seg1[5]_reg_p,1.2,3.968e-06,0.000e+00,6.772e-09,3.975e-06
seg1[6]_reg_p,1.2,3.968e-06,0.000e+00,6.767e-09,3.975e-06
seg0[5]_reg_p,1.2,3.968e-06,0.000e+00,6.760e-09,3.975e-06
seg0[6]_reg_p,1.2,3.968e-06,0.000e+00,6.760e-09,3.975e-06
seg1[7]_reg_p,1.2,3.968e-06,0.000e+00,6.756e-09,3.975e-06
seg1[3]_reg_p,1.2,3.968e-06,0.000e+00,6.737e-09,3.975e-06
seg1[4]_reg_p,1.2,3.968e-06,0.000e+00,6.689e-09,3.974e-06
seg0[3]_reg_p,1.2,3.968e-06,0.000e+00,6.686e-09,3.974e-06
seg0[7]_reg_p,1.2,3.968e-06,0.000e+00,6.683e-09,3.974e-06
seg1[2]_reg_p,1.2,3.968e-06,0.000e+00,6.657e-09,3.974e-06
seg0[2]_reg_p,1.2,3.968e-06,0.000e+00,6.652e-09,3.974e-06
seg0[1]_reg_p,1.2,3.968e-06,0.000e+00,6.645e-09,3.974e-06
seg0[4]_reg_p,1.2,3.968e-06,0.000e+00,6.623e-09,3.974e-06
pc[0]_reg_p,1.2,3.967e-06,0.000e+00,6.616e-09,3.974e-06
pc[2]_reg_p,1.2,3.963e-06,0.000e+00,6.544e-09,3.969e-06
gpr[1]_2__reg_p,1.2,3.962e-06,0.000e+00,6.757e-09,3.969e-06
gpr[1]_1__reg_p,1.2,3.962e-06,0.000e+00,6.757e-09,3.969e-06
gpr[1]_0__reg_p,1.2,3.962e-06,0.000e+00,6.757e-09,3.969e-06
gpr[1]_3__reg_p,1.2,3.962e-06,0.000e+00,6.757e-09,3.969e-06
gpr[1]_5__reg_p,1.2,3.962e-06,0.000e+00,6.719e-09,3.969e-06
pc[1]_reg_p,1.2,3.963e-06,0.000e+00,6.548e-09,3.969e-06
gpr[3]_3__reg_p,1.2,3.962e-06,0.000e+00,6.757e-09,3.969e-06
gpr[3]_2__reg_p,1.2,3.962e-06,0.000e+00,6.757e-09,3.969e-06
gpr[3]_1__reg_p,1.2,3.962e-06,0.000e+00,6.757e-09,3.969e-06
gpr[3]_0__reg_p,1.2,3.962e-06,0.000e+00,6.757e-09,3.969e-06
gpr[3]_5__reg_p,1.2,3.962e-06,0.000e+00,6.719e-09,3.969e-06
gpr[1]_4__reg_p,1.2,3.962e-06,0.000e+00,6.726e-09,3.969e-06
gpr[1]_6__reg_p,1.2,3.962e-06,0.000e+00,6.721e-09,3.969e-06
gpr[1]_7__reg_p,1.2,3.962e-06,0.000e+00,6.642e-09,3.969e-06
gpr[3]_4__reg_p,1.2,3.962e-06,0.000e+00,6.726e-09,3.969e-06
gpr[3]_6__reg_p,1.2,3.962e-06,0.000e+00,6.721e-09,3.969e-06
gpr[3]_7__reg_p,1.2,3.962e-06,0.000e+00,6.642e-09,3.969e-06
gpr[2]_3__reg_p,1.2,3.962e-06,0.000e+00,6.757e-09,3.968e-06
gpr[2]_0__reg_p,1.2,3.962e-06,0.000e+00,6.757e-09,3.968e-06
gpr[2]_1__reg_p,1.2,3.962e-06,0.000e+00,6.757e-09,3.968e-06
gpr[2]_2__reg_p,1.2,3.962e-06,0.000e+00,6.757e-09,3.968e-06
gpr[2]_5__reg_p,1.2,3.962e-06,0.000e+00,6.719e-09,3.968e-06
gpr[2]_4__reg_p,1.2,3.961e-06,0.000e+00,6.726e-09,3.968e-06
gpr[2]_6__reg_p,1.2,3.961e-06,0.000e+00,6.721e-09,3.968e-06
gpr[2]_7__reg_p,1.2,3.961e-06,0.000e+00,6.642e-09,3.968e-06
pc[3]_reg_p,1.2,3.960e-06,0.000e+00,6.544e-09,3.967e-06
seg0[7]_reg_p_D_OAI22X0P5H7L_Y_B0_MUX2X0P5H7L_Y,1.2,3.909e-06,0.000e+00,2.087e-09,3.911e-06
seg1[3]_reg_p_D_OAI21X0P5H7L_Y,1.2,3.841e-06,0.000e+00,7.047e-10,3.842e-06
seg1[6]_reg_p_D_OAI2BB1X0P5H7L_Y_A1N_OAI2BB1X0P5H7L_Y,1.2,3.567e-06,0.000e+00,1.165e-09,3.568e-06
gpr[1]_7__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_B,1.2,3.532e-06,0.000e+00,3.225e-09,3.535e-06
gpr[1]_3__MUX4X1P4H7L_B_Y_XNOR2X0P7H7L_B,1.2,3.515e-06,0.000e+00,3.258e-09,3.518e-06
gpr[1]_5__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_A_Y_NOR2X1H7L_B_A_XNOR2X0P5H7L_Y,1.2,3.458e-06,0.000e+00,3.225e-09,3.462e-06
gpr[1]_1__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_B,1.2,3.448e-06,0.000e+00,3.225e-09,3.452e-06
gpr[1]_5__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_A,1.2,3.446e-06,0.000e+00,3.225e-09,3.449e-06
gpr[1]_0__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_A,1.2,3.437e-06,0.000e+00,3.225e-09,3.440e-06
pc[3]_reg_p_D_MUX2X0P5H7L_Y_A_XNOR2X0P5H7L_Y_B_NAND3X0P5H7L_Y,1.2,3.396e-06,0.000e+00,3.563e-10,3.396e-06
seg0[1]_reg_p_D_OAI32X0P5H7L_Y_B0_OAI21X0P5H7L_Y,1.2,3.375e-06,0.000e+00,7.122e-10,3.376e-06
gpr[1]_1__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_B_Y_XNOR2X0P5H7L_B_Y_OAI21X0P5H7L_A1,1.2,3.301e-06,0.000e+00,7.130e-10,3.302e-06
gpr[1]_6__MUX4X1P4H7L_B_Y_NOR2X0P5H7L_B_Y_INVX0P5H7L_A_Y_NAND2X0P5H7L_B_Y_XNOR2X0P5H7L_B_Y_NOR2X0P5H7L_B,1.2,3.286e-06,0.000e+00,7.642e-10,3.287e-06
