* 30f5cf2	(2026-02-19 12:20:24 +0800) 上一个貌似是没有问题的
| * f6db6f1	(2026-02-19 12:02:17 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  12:02:17 up  4:31,  1 user,  load average: 0.21, 0.22, 0.23
| * 5d42d8f	(2026-02-19 12:02:17 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  12:02:17 up  4:31,  1 user,  load average: 0.21, 0.22, 0.23
| * 75f3011	(2026-02-19 11:58:03 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:58:03 up  4:26,  1 user,  load average: 0.31, 0.31, 0.26
| * fa036e6	(2026-02-19 11:58:03 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:58:03 up  4:26,  1 user,  load average: 0.31, 0.31, 0.26
| * 807aa91	(2026-02-19 11:56:16 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:56:16 up  4:24,  1 user,  load average: 0.47, 0.33, 0.26
| * db581d1	(2026-02-19 11:56:16 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:56:16 up  4:24,  1 user,  load average: 0.47, 0.33, 0.26
| * 8b759e5	(2026-02-19 11:55:42 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:55:42 up  4:24,  1 user,  load average: 0.55, 0.34, 0.26
| * dd2567e	(2026-02-19 11:55:42 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:55:42 up  4:24,  1 user,  load average: 0.55, 0.34, 0.26
| * e41eb7c	(2026-02-19 11:54:32 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:54:32 up  4:22,  1 user,  load average: 0.19, 0.27, 0.23
| * ff0ca18	(2026-02-19 11:54:32 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:54:32 up  4:22,  1 user,  load average: 0.19, 0.27, 0.23
| * acff1b3	(2026-02-19 11:54:24 +0800) > gdb NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:54:24 up  4:22,  1 user,  load average: 0.21, 0.27, 0.23
| * 2503f6a	(2026-02-19 11:54:24 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:54:24 up  4:22,  1 user,  load average: 0.21, 0.27, 0.23
| * 0325fd9	(2026-02-19 11:51:21 +0800) > gdb NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:51:21 up  4:19,  1 user,  load average: 0.43, 0.21, 0.20
| * b56340e	(2026-02-19 11:51:21 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:51:21 up  4:19,  1 user,  load average: 0.43, 0.21, 0.20
| * de17d38	(2026-02-19 11:45:36 +0800) > gdb NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:45:36 up  4:13,  1 user,  load average: 0.17, 0.17, 0.22
