Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
buffer_9__XNOR2X3H7L_B_Y_XNOR3X4H7L_B_Y_OAI21X0P5H7L_A0,1.2,1.874e-05,0.000e+00,7.131e-10,1.874e-05
over_reg_p_D_NOR4X0P5H7L_Y_D_OR4X1P4H7L_Y,1.2,1.821e-05,0.000e+00,1.713e-09,1.821e-05
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y_C_AOI21X4H7L_B0_A1_NOR4X6H7L_Y,1.2,1.808e-05,0.000e+00,1.379e-09,1.808e-05
segT1[1]_reg_p_D_OAI31X1H7L_Y_A2_NOR2X0P5H7L_Y_B_XNOR2X0P7H7L_Y,1.2,1.798e-05,0.000e+00,3.184e-09,1.799e-05
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y_C_AOI21X4H7L_B0_A0_NOR4X6H7L_Y,1.2,1.759e-05,0.000e+00,1.366e-09,1.759e-05
segT1[1]_reg_p_D_OAI31X1H7L_Y_B0_OAI211X0P7H7L_Y_A1_NOR2BX1H7L_Z_B_NOR3X3H7L_Y,1.2,1.655e-05,0.000e+00,1.138e-09,1.655e-05
fifo[0]_7__AOI21X8H7L_A1,1.2,1.437e-05,0.000e+00,5.787e-09,1.438e-05
segT1[1]_reg_p_D_OAI31X1H7L_Y_B0_OAI211X0P7H7L_Y_A1_NOR2BX1H7L_Z,1.2,1.402e-05,0.000e+00,1.443e-09,1.402e-05
buffer_9__XNOR2X3H7L_B_Y_XNOR3X4H7L_B_Y_NAND3BX0P5H7L_C,1.2,1.340e-05,0.000e+00,9.943e-10,1.340e-05
segT1[4]_reg_p_D_OA211X4H7L_Y_A0_OAI31X1H7L_Y_B0_AOI31X0P5H7L_Y,1.2,1.314e-05,0.000e+00,7.490e-10,1.314e-05
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y,1.2,1.292e-05,0.000e+00,9.312e-10,1.292e-05
segT1[5]_reg_p_D_AOI22X1P4H7L_Y_B0_NAND2X0P5H7L_Y,1.2,1.214e-05,0.000e+00,5.007e-10,1.214e-05
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y_C_AOI21X4H7L_B0_A1_NOR4X6H7L_Y_C_XOR2X3H7L_Y,1.2,1.149e-05,0.000e+00,4.155e-09,1.150e-05
segT1[7]_reg_p_D_NOR2X1P4H7L_Y,1.2,1.142e-05,0.000e+00,8.817e-10,1.142e-05
over_reg_p_CK_ICGX0P5H7L_ECK_E_INVX10H7L_Y,1.2,1.118e-05,0.000e+00,5.536e-09,1.119e-05
segT1[6]_reg_p_D_NAND3X1P4H7L_Y_A_NAND3X0P5H7L_Y,1.2,1.079e-05,0.000e+00,3.366e-10,1.079e-05
segT1[4]_reg_p_D_OA211X4H7L_Y_A1_AND3X8H7L_Y,1.2,9.654e-06,0.000e+00,3.262e-09,9.657e-06
buffer_9__XNOR2X3H7L_B_Y_XNOR3X4H7L_B_Y_XOR2X6H7L_A_B_XNOR2X1P4H7L_Y,1.2,9.369e-06,0.000e+00,3.358e-09,9.372e-06
over_reg_p_D_NOR4X0P5H7L_Y_C_NOR2X0P5H7L_A_Y_OR2X1P4H7L_B,1.2,8.683e-06,0.000e+00,2.040e-09,8.685e-06
buffer_9__XNOR2X3H7L_B_Y_XNOR3X4H7L_B_A_XOR2X3H7L_Y,1.2,7.519e-06,0.000e+00,4.183e-09,7.523e-06
over_reg_p_D_NOR4X0P5H7L_Y_C_NAND4X0P5H7L_Y,1.2,7.318e-06,0.000e+00,2.330e-10,7.318e-06
