Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
myTime_9__NAND4X0P7H7R_D,1.2,4.286e-07,0.000e+00,4.388e-11,4.286e-07
myTime_19__NAND4X1P4H7R_D_Y_NOR4X1H7R_C,1.2,4.186e-07,0.000e+00,5.976e-11,4.186e-07
is_NOR4X1H7R_Y,1.2,4.132e-07,0.000e+00,5.976e-11,4.133e-07
out[5]_reg_p_D_OR2X1P4H7R_Y,1.2,4.119e-07,0.000e+00,1.991e-10,4.121e-07
myTime_18__reg_p_D_AOI21X1P4H7R_Y_A0_OAI2BB1X0P5H7R_Y,1.2,3.856e-07,0.000e+00,1.420e-10,3.857e-07
myTime_17__reg_p_D_AOI21X1P4H7R_Y_A0_OAI2BB1X0P5H7R_Y,1.2,3.843e-07,0.000e+00,1.420e-10,3.845e-07
out[2]_reg_p,1.2,3.834e-07,0.000e+00,8.113e-10,3.842e-07
myTime_13__reg_p_D_AOI21X2H7R_Y,1.2,3.779e-07,0.000e+00,1.492e-10,3.781e-07
myTime_14__reg_p_D_AOI21X2H7R_Y,1.2,3.779e-07,0.000e+00,1.492e-10,3.781e-07
myTime_15__reg_p_D_AOI21X2H7R_Y,1.2,3.777e-07,0.000e+00,1.492e-10,3.778e-07
myTime_27__NOR4X0P5H7R_A,1.2,3.731e-07,0.000e+00,4.656e-11,3.731e-07
myTime_20__NOR4X0P5H7R_A,1.2,3.729e-07,0.000e+00,4.656e-11,3.729e-07
myTime_6__reg_p_D_NOR3X1H7R_Y_A_OAI21X0P5H7R_Y_A0_NOR3BX1P4H7R_Y,1.2,3.662e-07,0.000e+00,1.574e-10,3.664e-07
myTime_8__reg_p_D_AOI21X1P4H7R_Y,1.2,3.455e-07,0.000e+00,1.273e-10,3.457e-07
myTime_17__reg_p_D_AOI21X1P4H7R_Y,1.2,3.444e-07,0.000e+00,1.273e-10,3.445e-07
myTime_19__reg_p_D_AOI21X1P4H7R_Y,1.2,3.443e-07,0.000e+00,1.273e-10,3.444e-07
myTime_18__reg_p_D_AOI21X1P4H7R_Y,1.2,3.441e-07,0.000e+00,1.273e-10,3.442e-07
myTime_17__reg_p_D_AOI21X1P4H7R_Y_A1_NAND3BX0P7H7R_Y,1.2,3.144e-07,0.000e+00,1.310e-10,3.145e-07
myTime_9__reg_p_D_NOR2X1P4H7R_Y_B_XNOR2X0P5H7R_Y_B_NOR3BX0P5H7R_Y,1.2,3.008e-07,0.000e+00,1.320e-10,3.009e-07
