
25. Printing statistics.

=== ysyx_26020046_rv32iOneHotNsta ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
     7401        - wires
     7401        - wire bits
     7401        - public wires
     7401        - public wire bits
      169        - ports
      169        - port bits
     7332  20871.2 cells
        4     7.84   OR3X1P4H7L
       22    49.28   OR4X1P4H7L
        5       14   OR4X3H7L
        1     1.12   TIELOH7L
       93    260.4   XNOR2X0P5H7L
        1      2.8   XNOR2X0P7H7L
        3      8.4   XNOR2X1H7L
        6     16.8   XNOR2X1P4H7L
        2     6.72   XNOR2X3H7L
       48    134.4   XOR2X0P5H7L
        6     16.8   XOR2X1P4H7L
        2     6.72   XOR2X3H7L

   Chip area for module '\ysyx_26020046_rv32iOneHotNsta': 20871.200000
     of which used for sequential elements: 8088.080000 (38.75%)

